word,layer,SI,RS,PSD,SRI
temple,16,0.021793618832994355,0.017038247,0.003977487,0.014269784104482616
temple,20,0.029606319745620557,0.018108921,0.003303457,0.017006232640889112
temple,24,0.02626452159881143,0.017127125,-0.0024711974,0.01364014959831883
temple,28,0.024052992838983267,0.018079484,-0.0090672895,0.01102172906311503
temple,32,0.019607495525292618,0.045767322,-0.014428994,0.016981941340304767
tissue,4,0.00243548854617881,0.012552368,-0.0028766692,0.004037062610780555
tissue,8,0.011756314410167945,0.018073857,0.0019999705,0.010610047255422675
tissue,12,0.008357326765364215,0.023019299,0.0093994755,0.013592033735416268
tissue,16,0.014794278492811286,0.020014478,0.007793528,0.01420076147145131
tissue,20,0.022572429508323,0.020078396,0.0048966836,0.01584916985046682
tissue,24,0.013690137130064839,0.01773108,-0.0031307675,0.009430149822448053
tissue,28,0.009217380426240263,0.017684458,-0.002684053,0.008072595072094698
tissue,32,-0.0039321487158370805,0.03242029,-6.638281e-05,0.009473919081693464
trunk,4,-0.008239857006167306,0.013661861,-0.00070290174,0.001573034223386005
trunk,8,0.006131833907378703,0.01933742,-0.010790305,0.004892982705239783
trunk,12,0.006987092192119626,0.026778921,-0.011741517,0.007341498855135927
trunk,16,0.015211331634592096,0.022303542,-0.010277893,0.009078993454201711
trunk,20,0.01533839078454119,0.022669643,-0.0115269795,0.008827018147402147
trunk,24,0.01466479985654967,0.021484742,-0.008010711,0.00937961040268546
trunk,28,0.015145407667357336,0.02579884,-0.0065681115,0.011458712212111755
trunk,32,0.01085081776141561,0.044033844,0.01184386,0.022242840644914035
yard,4,0.01154053698380103,0.015019159,-0.0019626953,0.008199000181917715
yard,8,0.011757957623048043,0.019637601,-0.0013681315,0.010009142528190684
yard,12,0.010995812633061541,0.026514033,0.0011911783,0.012900341275143667
yard,16,0.021200061769079792,0.02202327,9.810552e-05,0.01444047906524328
yard,20,0.02023202059433593,0.021963134,-0.004198404,0.01266558365777378
yard,24,0.014061292964678118,0.021327684,-0.0023957565,0.010997740041368905
yard,28,0.010797922184620001,0.02187351,-0.0033269115,0.009781506738912297
yard,32,-0.00028241519709715224,0.03831191,-0.002849862,0.011726544235877564
